seed,beam_width,max_steps,sample_size,corr_hc_total,mean_hc_frontier,mean_hc_non_frontier,delta_hc_frontier_non_frontier,hc_mean_all,hc_stddev_all,hc_min_all,hc_max_all
0,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
0,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
0,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
0,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
0,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
0,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
1,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
1,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
1,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
1,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
1,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
1,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
2,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
2,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
2,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
2,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
2,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
2,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
3,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
3,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
3,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
3,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
3,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
3,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
4,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
4,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
4,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
4,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
4,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
4,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
5,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
5,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
5,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
5,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
5,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
5,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
6,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
6,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
6,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
6,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
6,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
6,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
7,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
7,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
7,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
7,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
7,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
7,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
8,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
8,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
8,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
8,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
8,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
8,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
9,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
9,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
9,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
9,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
9,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
9,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
10,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
10,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
10,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
10,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
10,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
10,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
11,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
11,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
11,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
11,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
11,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
11,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
12,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
12,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
12,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
12,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
12,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
12,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
13,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
13,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
13,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
13,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
13,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
13,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
14,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
14,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
14,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
14,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
14,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
14,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
15,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
15,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
15,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
15,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
15,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
15,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
16,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
16,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
16,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
16,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
16,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
16,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
17,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
17,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
17,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
17,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
17,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
17,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
18,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
18,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
18,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
18,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
18,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
18,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
19,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
19,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
19,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
19,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
19,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
19,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
20,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
20,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
20,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
20,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
20,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
20,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
21,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
21,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
21,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
21,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
21,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
21,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
22,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
22,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
22,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
22,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
22,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
22,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
23,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
23,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
23,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
23,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
23,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
23,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
24,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
24,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
24,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
24,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
24,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
