seed,beam_width,max_steps,sample_size,corr_hc_total,mean_hc_frontier,mean_hc_non_frontier,delta_hc_frontier_non_frontier,hc_mean_all,hc_stddev_all,hc_min_all,hc_max_all
24,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
25,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
25,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
25,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
25,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
25,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
25,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
26,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
26,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
26,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
26,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
26,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
26,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
27,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
27,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
27,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
27,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
27,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
27,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
28,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
28,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
28,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
28,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
28,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
28,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
29,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
29,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
29,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
29,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
29,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
29,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
30,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
30,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
30,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
30,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
30,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
30,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
31,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
31,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
31,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
31,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
31,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
31,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
32,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
32,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
32,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
32,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
32,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
32,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
33,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
33,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
33,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
33,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
33,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
33,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
34,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
34,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
34,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
34,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
34,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
34,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
35,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
35,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
35,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
35,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
35,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
35,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
36,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
36,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
36,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
36,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
36,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
36,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
37,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
37,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
37,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
37,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
37,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
37,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
38,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
38,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
38,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
38,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
38,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
38,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
39,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
39,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
39,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
39,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
39,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
39,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
40,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
40,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
40,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
40,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
40,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
40,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
41,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
41,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
41,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
41,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
41,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
41,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
42,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
42,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
42,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
42,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
42,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
42,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
43,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
43,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
43,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
43,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
43,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
43,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
44,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
44,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
44,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
44,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
44,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
44,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
45,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
45,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
45,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
45,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
45,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
45,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
46,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
46,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
46,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
46,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
46,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
46,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
47,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
47,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
47,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
47,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
47,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
47,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
48,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
48,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
48,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
48,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
48,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
48,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
49,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
49,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
49,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
49,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
49,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
49,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
