depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth
1,0.490000010,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,1,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,5,"ConstraintPropagation:2|Cost:1|Performance:1|Reliability:1",1.332179070,4,1
2,0.479999989,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,2,0.000317337,0.797070444,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,5,"ConstraintPropagation:2|Cost:1|Performance:1|Reliability:1",1.332179070,4,2
3,0.469999999,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,3,0.000069642,0.894588947,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,10,"ConstraintPropagation:4|Cost:2|Performance:2|Reliability:2",1.332179070,4,3
4,0.460000008,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000058760,0.920941710,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,15,"ConstraintPropagation:6|Cost:3|Performance:3|Reliability:3",1.332179070,4,4
5,0.449999988,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000050142,0.936753333,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,20,"ConstraintPropagation:8|Cost:4|Performance:4|Reliability:4",1.332179070,4,5
6,0.439999998,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.000043526,0.947294474,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,6
7,0.430000007,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
8,0.419999987,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
9,0.409999996,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
10,0.400000006,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
11,0.389999986,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
12,0.379999995,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
13,0.370000005,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
14,0.360000014,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
15,0.349999994,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
16,0.340000004,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
17,0.330000013,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
18,0.319999993,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
19,0.310000002,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
20,0.300000012,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
21,0.289999992,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
22,0.280000001,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
23,0.270000011,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
24,0.259999990,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
25,0.250000000,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
26,0.239999995,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
27,0.230000004,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
28,0.219999999,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
29,0.209999993,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
30,0.200000003,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
31,0.189999998,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
32,0.180000007,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
33,0.170000002,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
34,0.159999996,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
35,0.150000006,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
36,0.140000001,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
37,0.129999995,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
38,0.119999997,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
39,0.109999999,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
40,0.100000001,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
41,0.090000004,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
42,0.079999998,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
43,0.070000000,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
44,0.059999999,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
45,0.050000001,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
46,0.039999999,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
47,0.029999999,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
48,0.020000000,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
49,0.010000000,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
